zipcode,city,state,ST,county
13107,Maple View,New York,NY,Oswego County
13108,Marcellus,New York,NY,Onondaga County
13110,Marietta,New York,NY,Onondaga County
13111,Martville,New York,NY,Cayuga County
13112,Memphis,New York,NY,Onondaga County
13113,Meridian,New York,NY,Cayuga County
13114,Mexico,New York,NY,Oswego County
13115,Minetto,New York,NY,Oswego County
13116,Minoa,New York,NY,Onondaga County
13117,Montezuma,New York,NY,Cayuga County
13118,Moravia,New York,NY,Cayuga County
13119,Mottville,New York,NY,Onondaga County
13120,Nedrow,New York,NY,Onondaga County
13121,New Haven,New York,NY,Oswego County
13122,New Woodstock,New York,NY,Madison County
13123,North Bay,New York,NY,Oneida County
13124,North Pitcher,New York,NY,Chenango County
13126,Oswego,New York,NY,Oswego County
13131,Parish,New York,NY,Oswego County
13132,Pennellville,New York,NY,Oswego County
13134,Peterboro,New York,NY,Madison County
13135,Phoenix,New York,NY,Oswego County
13136,Pitcher,New York,NY,Chenango County
13137,Plainville,New York,NY,Onondaga County
13138,Pompey,New York,NY,Onondaga County
13139,Poplar Ridge,New York,NY,Cayuga County
13140,Port Byron,New York,NY,Cayuga County
13141,Preble,New York,NY,Cortland County
13142,Pulaski,New York,NY,Oswego County
13143,Red Creek,New York,NY,Wayne County
13144,Richland,New York,NY,Oswego County
13145,Sandy Creek,New York,NY,Oswego County
13146,Savannah,New York,NY,Wayne County
13147,Scipio Center,New York,NY,Cayuga County
13148,Seneca Falls,New York,NY,Seneca County
13152,Skaneateles,New York,NY,Onondaga County
13153,Skaneateles Falls,New York,NY,Onondaga County
13154,South Butler,New York,NY,Wayne County
13155,South Otselic,New York,NY,Chenango County
13156,Sterling,New York,NY,Cayuga County
13157,Sylvan Beach,New York,NY,Oneida County
13158,Truxton,New York,NY,Cortland County
13159,Tully,New York,NY,Onondaga County
13160,Union Springs,New York,NY,Cayuga County
13162,Verona Beach,New York,NY,Oneida County
13163,Wampsville,New York,NY,Madison County
13164,Warners,New York,NY,Onondaga County
13165,Waterloo,New York,NY,Seneca County
13166,Weedsport,New York,NY,Cayuga County
13167,West Monroe,New York,NY,Oswego County
13201,Syracuse,New York,NY,Onondaga County
13202,Syracuse,New York,NY,Onondaga County
13203,Syracuse,New York,NY,Onondaga County
13204,Syracuse,New York,NY,Onondaga County
13205,Syracuse,New York,NY,Onondaga County
13206,Syracuse,New York,NY,Onondaga County
13207,Syracuse,New York,NY,Onondaga County
13208,Syracuse,New York,NY,Onondaga County
13209,Syracuse,New York,NY,Onondaga County
13210,Syracuse,New York,NY,Onondaga County
13211,Syracuse,New York,NY,Onondaga County
13212,Syracuse,New York,NY,Onondaga County
13214,Syracuse,New York,NY,Onondaga County
13215,Syracuse,New York,NY,Onondaga County
13217,Syracuse,New York,NY,Onondaga County
13218,Syracuse,New York,NY,Onondaga County
13219,Syracuse,New York,NY,Onondaga County
13220,Syracuse,New York,NY,Onondaga County
13221,Syracuse,New York,NY,Onondaga County
13224,Syracuse,New York,NY,Onondaga County
13225,Syracuse,New York,NY,Onondaga County
13235,Syracuse,New York,NY,Onondaga County
13244,Syracuse,New York,NY,Onondaga County
13250,Syracuse,New York,NY,Onondaga County
13251,Syracuse,New York,NY,Onondaga County
13252,Syracuse,New York,NY,Onondaga County
13261,Syracuse,New York,NY,Onondaga County
13290,Syracuse,New York,NY,Onondaga County
13301,Alder Creek,New York,NY,Oneida County
13302,Altmar,New York,NY,Oswego County
13303,Ava,New York,NY,Oneida County
13304,Barneveld,New York,NY,Oneida County
13305,Beaver Falls,New York,NY,Lewis County
13308,Blossvale,New York,NY,Oneida County
13309,Boonville,New York,NY,Oneida County
13310,Bouckville,New York,NY,Madison County
13312,Brantingham,New York,NY,Lewis County
13313,Bridgewater,New York,NY,Oneida County
13314,Brookfield,New York,NY,Madison County
13315,Burlington Flats,New York,NY,Otsego County
13316,Camden,New York,NY,Oneida County
13317,Canajoharie,New York,NY,Montgomery County
13318,Cassville,New York,NY,Oneida County
13319,Chadwicks,New York,NY,Oneida County
13320,Cherry Valley,New York,NY,Otsego County
13321,Clark Mills,New York,NY,Oneida County
13322,Clayville,New York,NY,Oneida County
13323,Clinton,New York,NY,Oneida County
13324,Cold Brook,New York,NY,Herkimer County
13325,Constableville,New York,NY,Lewis County
13326,Cooperstown,New York,NY,Otsego County
13327,Croghan,New York,NY,Lewis County
13328,Deansboro,New York,NY,Oneida County
13329,Dolgeville,New York,NY,Herkimer County
13331,Eagle Bay,New York,NY,Herkimer County
13332,Earlville,New York,NY,Madison County
13333,East Springfield,New York,NY,Otsego County
13334,Eaton,New York,NY,Madison County
13335,Edmeston,New York,NY,Otsego County
13337,Fly Creek,New York,NY,Otsego County
13338,Forestport,New York,NY,Oneida County
13339,Fort Plain,New York,NY,Montgomery County
13340,Frankfort,New York,NY,Herkimer County
13341,Franklin Springs,New York,NY,Oneida County
13342,Garrattsville,New York,NY,Otsego County
13343,Glenfield,New York,NY,Lewis County
13345,Greig,New York,NY,Lewis County
13346,Hamilton,New York,NY,Madison County
13348,Hartwick,New York,NY,Otsego County
13350,Herkimer,New York,NY,Herkimer County
13352,Hinckley,New York,NY,Oneida County
13353,Hoffmeister,New York,NY,Hamilton County
13354,Holland Patent,New York,NY,Oneida County
13355,Hubbardsville,New York,NY,Madison County
13357,Ilion,New York,NY,Herkimer County
13360,Inlet,New York,NY,Hamilton County
13361,Jordanville,New York,NY,Herkimer County
13362,Knoxboro,New York,NY,Oneida County
13363,Lee Center,New York,NY,Oneida County
13364,Leonardsville,New York,NY,Madison County
13365,Little Falls,New York,NY,Herkimer County
13367,Lowville,New York,NY,Lewis County
13368,Lyons Falls,New York,NY,Lewis County
13401,Mc Connellsville,New York,NY,Oneida County
13402,Madison,New York,NY,Madison County
13403,Marcy,New York,NY,Oneida County
13404,Martinsburg,New York,NY,Lewis County
13406,Middleville,New York,NY,Herkimer County
13407,Mohawk,New York,NY,Herkimer County
13408,Morrisville,New York,NY,Madison County
13409,Munnsville,New York,NY,Madison County
13410,Nelliston,New York,NY,Montgomery County
13411,New Berlin,New York,NY,Chenango County
13413,New Hartford,New York,NY,Oneida County
13415,New Lisbon,New York,NY,Otsego County
13416,Newport,New York,NY,Herkimer County
13417,New York Mills,New York,NY,Oneida County
13418,North Brookfield,New York,NY,Madison County
13420,Old Forge,New York,NY,Herkimer County
13421,Oneida,New York,NY,Madison County
13424,Oriskany,New York,NY,Oneida County
13425,Oriskany Falls,New York,NY,Oneida County
13426,Orwell,New York,NY,Oswego County
13428,Palatine Bridge,New York,NY,Montgomery County
13431,Poland,New York,NY,Herkimer County
13433,Port Leyden,New York,NY,Lewis County
13435,Prospect,New York,NY,Oneida County
13436,Raquette Lake,New York,NY,Hamilton County
13437,Redfield,New York,NY,Oswego County
13438,Remsen,New York,NY,Oneida County
13439,Richfield Springs,New York,NY,Otsego County
13440,Rome,New York,NY,Oneida County
13441,Rome,New York,NY,Oneida County
13442,Rome,New York,NY,Oneida County
13449,Rome,New York,NY,Oneida County
13450,Roseboom,New York,NY,Otsego County
13452,Saint Johnsville,New York,NY,Montgomery County
13454,Salisbury Center,New York,NY,Herkimer County
13455,Sangerfield,New York,NY,Oneida County
13456,Sauquoit,New York,NY,Oneida County
13457,Schuyler Lake,New York,NY,Otsego County
13459,Sharon Springs,New York,NY,Schoharie County
13460,Sherburne,New York,NY,Chenango County
13461,Sherrill,New York,NY,Oneida County
13464,Smyrna,New York,NY,Chenango County
13465,Solsville,New York,NY,Madison County
13468,Springfield Center,New York,NY,Otsego County
13469,Stittville,New York,NY,Oneida County
13470,Stratford,New York,NY,Fulton County
13471,Taberg,New York,NY,Oneida County
13472,Thendara,New York,NY,Herkimer County
13473,Turin,New York,NY,Lewis County
13475,Van Hornesville,New York,NY,Herkimer County
13476,Vernon,New York,NY,Oneida County
13477,Vernon Center,New York,NY,Oneida County
13478,Verona,New York,NY,Oneida County
13479,Washington Mills,New York,NY,Oneida County
13480,Waterville,New York,NY,Oneida County
13482,West Burlington,New York,NY,Otsego County
13483,Westdale,New York,NY,Oneida County
13484,West Eaton,New York,NY,Madison County
13485,West Edmeston,New York,NY,Madison County
13486,Westernville,New York,NY,Oneida County
13488,Westford,New York,NY,Otsego County
13489,West Leyden,New York,NY,Lewis County
13490,Westmoreland,New York,NY,Oneida County
13491,West Winfield,New York,NY,Herkimer County
13492,Whitesboro,New York,NY,Oneida County
13493,Williamstown,New York,NY,Oswego County
13494,Woodgate,New York,NY,Oneida County
13495,Yorkville,New York,NY,Oneida County
13501,Utica,New York,NY,Oneida County
13502,Utica,New York,NY,Oneida County
13503,Utica,New York,NY,Oneida County
13504,Utica,New York,NY,Oneida County
13505,Utica,New York,NY,Oneida County
13599,Utica,New York,NY,Oneida County
13601,Watertown,New York,NY,Jefferson County
13602,Fort Drum,New York,NY,Jefferson County
13603,Watertown,New York,NY,Jefferson County
13605,Adams,New York,NY,Jefferson County
13606,Adams Center,New York,NY,Jefferson County
13607,Alexandria Bay,New York,NY,Jefferson County
13608,Antwerp,New York,NY,Jefferson County
13611,Belleville,New York,NY,Jefferson County
13612,Black River,New York,NY,Jefferson County
13613,Brasher Falls,New York,NY,St. Lawrence County
13614,Brier Hill,New York,NY,St. Lawrence County
13615,Brownville,New York,NY,Jefferson County
13616,Calcium,New York,NY,Jefferson County
13617,Canton,New York,NY,St. Lawrence County
13618,Cape Vincent,New York,NY,Jefferson County
13619,Carthage,New York,NY,Jefferson County
13620,Castorland,New York,NY,Lewis County
13621,Chase Mills,New York,NY,St. Lawrence County
13622,Chaumont,New York,NY,Jefferson County
13623,Chippewa Bay,New York,NY,St. Lawrence County
13624,Clayton,New York,NY,Jefferson County
13625,Colton,New York,NY,St. Lawrence County
13626,Copenhagen,New York,NY,Lewis County
13627,Deer River,New York,NY,Lewis County
13628,Deferiet,New York,NY,Jefferson County
13630,De Kalb Junction,New York,NY,St. Lawrence County
13631,Denmark,New York,NY,Lewis County
13632,Depauville,New York,NY,Jefferson County
13633,De Peyster,New York,NY,St. Lawrence County
13634,Dexter,New York,NY,Jefferson County
13635,Edwards,New York,NY,St. Lawrence County
13636,Ellisburg,New York,NY,Jefferson County
13637,Evans Mills,New York,NY,Jefferson County
13638,Felts Mills,New York,NY,Jefferson County
13639,Fine,New York,NY,St. Lawrence County
13640,Wellesley Island,New York,NY,Jefferson County
13641,Fishers Landing,New York,NY,Jefferson County
13642,Gouverneur,New York,NY,St. Lawrence County
13643,Great Bend,New York,NY,Jefferson County
13645,Hailesboro,New York,NY,St. Lawrence County
13646,Hammond,New York,NY,St. Lawrence County
13647,Hannawa Falls,New York,NY,St. Lawrence County
13648,Harrisville,New York,NY,Lewis County
13649,Helena,New York,NY,St. Lawrence County
13650,Henderson,New York,NY,Jefferson County
13651,Henderson Harbor,New York,NY,Jefferson County
13652,Hermon,New York,NY,St. Lawrence County
13654,Heuvelton,New York,NY,St. Lawrence County
13655,Hogansburg,New York,NY,Franklin County
13656,La Fargeville,New York,NY,Jefferson County
13657,Limerick,New York,NY,Jefferson County
13658,Lisbon,New York,NY,St. Lawrence County
13659,Lorraine,New York,NY,Jefferson County
13660,Madrid,New York,NY,St. Lawrence County
13661,Mannsville,New York,NY,Jefferson County
13662,Massena,New York,NY,St. Lawrence County
13664,Morristown,New York,NY,St. Lawrence County
13665,Natural Bridge,New York,NY,Jefferson County
13666,Newton Falls,New York,NY,St. Lawrence County
13667,Norfolk,New York,NY,St. Lawrence County
13668,Norwood,New York,NY,St. Lawrence County
13669,Ogdensburg,New York,NY,St. Lawrence County
13670,Oswegatchie,New York,NY,St. Lawrence County
13671,Antwerp,New York,NY,Jefferson County
13672,Parishville,New York,NY,St. Lawrence County
13673,Philadelphia,New York,NY,Jefferson County
13674,Pierrepont Manor,New York,NY,Jefferson County
13675,Plessis,New York,NY,Jefferson County
13676,Potsdam,New York,NY,St. Lawrence County
13677,Pyrites,New York,NY,St. Lawrence County
13678,Raymondville,New York,NY,St. Lawrence County
13679,Redwood,New York,NY,Jefferson County
13680,Rensselaer Falls,New York,NY,St. Lawrence County
13681,Richville,New York,NY,St. Lawrence County
13682,Rodman,New York,NY,Jefferson County
13683,Rooseveltown,New York,NY,St. Lawrence County
13684,Russell,New York,NY,St. Lawrence County
13685,Sackets Harbor,New York,NY,Jefferson County
13687,South Colton,New York,NY,St. Lawrence County
13690,Star Lake,New York,NY,St. Lawrence County
13691,Theresa,New York,NY,Jefferson County
13692,Thousand Island Park,New York,NY,Jefferson County
13693,Three Mile Bay,New York,NY,Jefferson County
13694,Waddington,New York,NY,St. Lawrence County
13695,Wanakena,New York,NY,St. Lawrence County
13696,West Stockholm,New York,NY,St. Lawrence County
13697,Winthrop,New York,NY,St. Lawrence County
13699,Potsdam,New York,NY,St. Lawrence County
13730,Afton,New York,NY,Chenango County
13731,Andes,New York,NY,Delaware County
13732,Apalachin,New York,NY,Tioga County
13733,Bainbridge,New York,NY,Chenango County
13734,Barton,New York,NY,Tioga County
13736,Berkshire,New York,NY,Tioga County
13737,Bible School Park,New York,NY,Broome County
13738,Blodgett Mills,New York,NY,Cortland County
13739,Bloomville,New York,NY,Delaware County
13740,Bovina Center,New York,NY,Delaware County
13743,Candor,New York,NY,Tioga County
13744,Castle Creek,New York,NY,Broome County
13745,Chenango Bridge,New York,NY,Broome County
13746,Chenango Forks,New York,NY,Broome County
13747,Colliersville,New York,NY,Otsego County
13748,Conklin,New York,NY,Broome County
13749,Corbettsville,New York,NY,Broome County
13750,Davenport,New York,NY,Delaware County
13751,Davenport Center,New York,NY,Delaware County
13752,Delancey,New York,NY,Delaware County
13753,Delhi,New York,NY,Delaware County
13754,Deposit,New York,NY,Broome County
13755,Downsville,New York,NY,Delaware County
13756,East Branch,New York,NY,Delaware County
13757,East Meredith,New York,NY,Delaware County
13758,East Pharsalia,New York,NY,Chenango County
13760,Endicott,New York,NY,Broome County
13761,Endicott,New York,NY,Broome County
13762,Endwell,New York,NY,Broome County
13763,Endicott,New York,NY,Broome County
13774,Fishs Eddy,New York,NY,Delaware County
13775,Franklin,New York,NY,Delaware County
13776,Gilbertsville,New York,NY,Otsego County
13777,Glen Aubrey,New York,NY,Broome County
13778,Greene,New York,NY,Chenango County
13780,Guilford,New York,NY,Chenango County
13782,Hamden,New York,NY,Delaware County
13783,Hancock,New York,NY,Delaware County
13784,Harford,New York,NY,Cortland County
13786,Harpersfield,New York,NY,Delaware County
13787,Harpursville,New York,NY,Broome County
13788,Hobart,New York,NY,Delaware County
13790,Johnson City,New York,NY,Broome County
13794,Killawog,New York,NY,Broome County
13795,Kirkwood,New York,NY,Broome County
13796,Laurens,New York,NY,Otsego County
13797,Lisle,New York,NY,Broome County
13801,Mc Donough,New York,NY,Chenango County
13802,Maine,New York,NY,Broome County
13803,Marathon,New York,NY,Cortland County
13804,Masonville,New York,NY,Delaware County
13806,Meridale,New York,NY,Delaware County
13807,Milford,New York,NY,Otsego County
13808,Morris,New York,NY,Otsego County
13809,Mount Upton,New York,NY,Chenango County
13810,Mount Vision,New York,NY,Otsego County
13811,Newark Valley,New York,NY,Tioga County
13812,Nichols,New York,NY,Tioga County
13813,Nineveh,New York,NY,Broome County
13814,North Norwich,New York,NY,Chenango County
13815,Norwich,New York,NY,Chenango County
13820,Oneonta,New York,NY,Otsego County
13825,Otego,New York,NY,Otsego County
13826,Ouaquaga,New York,NY,Broome County
13827,Owego,New York,NY,Tioga County
13830,Oxford,New York,NY,Chenango County
13832,Plymouth,New York,NY,Chenango County
13833,Port Crane,New York,NY,Broome County
13834,Portlandville,New York,NY,Otsego County
13835,Richford,New York,NY,Tioga County
13837,Shinhopple,New York,NY,Delaware County
13838,Sidney,New York,NY,Delaware County
13839,Sidney Center,New York,NY,Delaware County
13840,Smithboro,New York,NY,Tioga County
13841,Smithville Flats,New York,NY,Chenango County
13842,South Kortright,New York,NY,Delaware County
13843,South New Berlin,New York,NY,Chenango County
13844,South Plymouth,New York,NY,Chenango County
13845,Tioga Center,New York,NY,Tioga County
13846,Treadwell,New York,NY,Delaware County
13847,Trout Creek,New York,NY,Delaware County
13848,Tunnel,New York,NY,Broome County
13849,Unadilla,New York,NY,Otsego County
13850,Vestal,New York,NY,Broome County
13851,Vestal,New York,NY,Broome County
13856,Walton,New York,NY,Delaware County
13859,Wells Bridge,New York,NY,Otsego County
13860,West Davenport,New York,NY,Delaware County
13861,West Oneonta,New York,NY,Otsego County
13862,Whitney Point,New York,NY,Broome County
13863,Willet,New York,NY,Cortland County
13864,Willseyville,New York,NY,Tioga County
13865,Windsor,New York,NY,Broome County
13901,Binghamton,New York,NY,Broome County
13902,Binghamton,New York,NY,Broome County
13903,Binghamton,New York,NY,Broome County
13904,Binghamton,New York,NY,Broome County
13905,Binghamton,New York,NY,Broome County
14001,Akron,New York,NY,Erie County
14004,Alden,New York,NY,Erie County
14005,Alexander,New York,NY,Genesee County
14006,Angola,New York,NY,Erie County
14008,Appleton,New York,NY,Niagara County
14009,Arcade,New York,NY,Wyoming County
14010,Athol Springs,New York,NY,Erie County
14011,Attica,New York,NY,Wyoming County
14012,Barker,New York,NY,Niagara County
14013,Basom,New York,NY,Genesee County
14020,Batavia,New York,NY,Genesee County
14021,Batavia,New York,NY,Genesee County
14024,Bliss,New York,NY,Wyoming County
14025,Boston,New York,NY,Erie County
14026,Bowmansville,New York,NY,Erie County
14027,Brant,New York,NY,Erie County
14028,Burt,New York,NY,Niagara County
14029,Centerville,New York,NY,Allegany County
14030,Chaffee,New York,NY,Erie County
14031,Clarence,New York,NY,Erie County
14032,Clarence Center,New York,NY,Erie County
14033,Colden,New York,NY,Erie County
14034,Collins,New York,NY,Erie County
14035,Collins Center,New York,NY,Erie County
14036,Corfu,New York,NY,Genesee County
14037,Cowlesville,New York,NY,Wyoming County
14038,Crittenden,New York,NY,Erie County
14039,Dale,New York,NY,Wyoming County
14040,Darien Center,New York,NY,Genesee County
14041,Dayton,New York,NY,Cattaraugus County
14042,Delevan,New York,NY,Cattaraugus County
14043,Depew,New York,NY,Erie County
14047,Derby,New York,NY,Erie County
14048,Dunkirk,New York,NY,Chautauqua County
14051,East Amherst,New York,NY,Erie County
14052,East Aurora,New York,NY,Erie County
14054,East Bethany,New York,NY,Genesee County
14055,East Concord,New York,NY,Erie County
14056,East Pembroke,New York,NY,Genesee County
14057,Eden,New York,NY,Erie County
14058,Elba,New York,NY,Genesee County
14059,Elma,New York,NY,Erie County
14060,Farmersville Station,New York,NY,Cattaraugus County
14061,Farnham,New York,NY,Erie County
14062,Forestville,New York,NY,Chautauqua County
14063,Fredonia,New York,NY,Chautauqua County
14065,Freedom,New York,NY,Cattaraugus County
14066,Gainesville,New York,NY,Wyoming County
14067,Gasport,New York,NY,Niagara County
14068,Getzville,New York,NY,Erie County
14069,Glenwood,New York,NY,Erie County
14070,Gowanda,New York,NY,Cattaraugus County
14072,Grand Island,New York,NY,Erie County
14075,Hamburg,New York,NY,Erie County
14080,Holland,New York,NY,Erie County
14081,Irving,New York,NY,Erie County
14082,Java Center,New York,NY,Wyoming County
14083,Java Village,New York,NY,Wyoming County
14085,Lake View,New York,NY,Erie County
14086,Lancaster,New York,NY,Erie County
14091,Lawtons,New York,NY,Erie County
14092,Lewiston,New York,NY,Niagara County
14094,Lockport,New York,NY,Niagara County
14095,Lockport,New York,NY,Niagara County
14098,Lyndonville,New York,NY,Orleans County
14101,Machias,New York,NY,Cattaraugus County
14102,Marilla,New York,NY,Erie County
14103,Medina,New York,NY,Orleans County
14105,Middleport,New York,NY,Niagara County
14107,Model City,New York,NY,Niagara County
14108,Newfane,New York,NY,Niagara County
14109,Niagara University,New York,NY,Niagara County
14110,North Boston,New York,NY,Erie County
14111,North Collins,New York,NY,Erie County
14112,North Evans,New York,NY,Erie County
14113,North Java,New York,NY,Wyoming County
14120,North Tonawanda,New York,NY,Niagara County
14125,Oakfield,New York,NY,Genesee County
14126,Olcott,New York,NY,Niagara County
14127,Orchard Park,New York,NY,Erie County
14129,Perrysburg,New York,NY,Cattaraugus County
14130,Pike,New York,NY,Wyoming County
14131,Ransomville,New York,NY,Niagara County
14132,Sanborn,New York,NY,Niagara County
14133,Sandusky,New York,NY,Cattaraugus County
14134,Sardinia,New York,NY,Erie County
14135,Sheridan,New York,NY,Chautauqua County
14136,Silver Creek,New York,NY,Chautauqua County
14138,South Dayton,New York,NY,Cattaraugus County
14139,South Wales,New York,NY,Erie County
14140,Spring Brook,New York,NY,Erie County
14141,Springville,New York,NY,Erie County
14143,Stafford,New York,NY,Genesee County
14144,Stella Niagara,New York,NY,Niagara County
14145,Strykersville,New York,NY,Wyoming County
14150,Tonawanda,New York,NY,Erie County
14151,Tonawanda,New York,NY,Erie County
14166,Van Buren Point,New York,NY,Chautauqua County
14167,Varysburg,New York,NY,Wyoming County
14168,Versailles,New York,NY,Cattaraugus County
14169,Wales Center,New York,NY,Erie County
14170,West Falls,New York,NY,Erie County
14171,West Valley,New York,NY,Cattaraugus County
14172,Wilson,New York,NY,Niagara County
14173,Yorkshire,New York,NY,Cattaraugus County
14174,Youngstown,New York,NY,Niagara County
14201,Buffalo,New York,NY,Erie County
14202,Buffalo,New York,NY,Erie County
14203,Buffalo,New York,NY,Erie County
14204,Buffalo,New York,NY,Erie County
14205,Buffalo,New York,NY,Erie County
14206,Buffalo,New York,NY,Erie County
14207,Buffalo,New York,NY,Erie County
14208,Buffalo,New York,NY,Erie County
14209,Buffalo,New York,NY,Erie County
14210,Buffalo,New York,NY,Erie County
14211,Buffalo,New York,NY,Erie County
14212,Buffalo,New York,NY,Erie County
14213,Buffalo,New York,NY,Erie County
14214,Buffalo,New York,NY,Erie County
14215,Buffalo,New York,NY,Erie County
14216,Buffalo,New York,NY,Erie County
14217,Buffalo,New York,NY,Erie County
14218,Buffalo,New York,NY,Erie County
14219,Buffalo,New York,NY,Erie County
14220,Buffalo,New York,NY,Erie County
14221,Buffalo,New York,NY,Erie County
14222,Buffalo,New York,NY,Erie County
14223,Buffalo,New York,NY,Erie County
14224,Buffalo,New York,NY,Erie County
14225,Buffalo,New York,NY,Erie County
14226,Buffalo,New York,NY,Erie County
14227,Buffalo,New York,NY,Erie County
14228,Buffalo,New York,NY,Erie County
14231,Buffalo,New York,NY,Erie County
14233,Buffalo,New York,NY,Erie County
14240,Buffalo,New York,NY,Erie County
14241,Buffalo,New York,NY,Erie County
14260,Buffalo,New York,NY,Erie County
14261,Buffalo,New York,NY,Erie County
14263,Buffalo,New York,NY,Erie County
14264,Buffalo,New York,NY,Erie County
14265,Buffalo,New York,NY,Erie County
14267,Buffalo,New York,NY,Erie County
14269,Buffalo,New York,NY,Erie County
14270,Buffalo,New York,NY,Erie County
14272,Buffalo,New York,NY,Erie County
14273,Buffalo,New York,NY,Erie County
14276,Buffalo,New York,NY,Erie County
14280,Buffalo,New York,NY,Erie County
14301,Niagara Falls,New York,NY,Niagara County
14302,Niagara Falls,New York,NY,Niagara County
14303,Niagara Falls,New York,NY,Niagara County
14304,Niagara Falls,New York,NY,Niagara County
14305,Niagara Falls,New York,NY,Niagara County
14410,Adams Basin,New York,NY,Monroe County
14411,Albion,New York,NY,Orleans County
14413,Alton,New York,NY,Wayne County
14414,Avon,New York,NY,Livingston County
14415,Bellona,New York,NY,Yates County
14416,Bergen,New York,NY,Genesee County
14418,Branchport,New York,NY,Yates County
14420,Brockport,New York,NY,Monroe County
14422,Byron,New York,NY,Genesee County
14423,Caledonia,New York,NY,Livingston County
14424,Canandaigua,New York,NY,Ontario County
14425,Farmington,New York,NY,Ontario County
14427,Castile,New York,NY,Wyoming County
14428,Churchville,New York,NY,Monroe County
14429,Clarendon,New York,NY,Orleans County
14430,Clarkson,New York,NY,Monroe County
14432,Clifton Springs,New York,NY,Ontario County
14433,Clyde,New York,NY,Wayne County
14435,Conesus,New York,NY,Livingston County
14437,Dansville,New York,NY,Livingston County
14441,Dresden,New York,NY,Yates County
14443,East Bloomfield,New York,NY,Ontario County
14445,East Rochester,New York,NY,Monroe County
14449,East Williamson,New York,NY,Wayne County
14450,Fairport,New York,NY,Monroe County
14452,Fancher,New York,NY,Orleans County
14453,Fishers,New York,NY,Ontario County
14454,Geneseo,New York,NY,Livingston County
14456,Geneva,New York,NY,Ontario County
14461,Gorham,New York,NY,Ontario County
14462,Groveland,New York,NY,Livingston County
14463,Hall,New York,NY,Ontario County
14464,Hamlin,New York,NY,Monroe County
14466,Hemlock,New York,NY,Ontario County
14467,Henrietta,New York,NY,Monroe County
14468,Hilton,New York,NY,Monroe County
14469,Bloomfield,New York,NY,Ontario County
14470,Holley,New York,NY,Orleans County
14471,Honeoye,New York,NY,Ontario County
14472,Honeoye Falls,New York,NY,Monroe County
14475,Ionia,New York,NY,Ontario County
14476,Kendall,New York,NY,Orleans County
14477,Kent,New York,NY,Orleans County
14478,Keuka Park,New York,NY,Yates County
14479,Knowlesville,New York,NY,Orleans County
14480,Lakeville,New York,NY,Livingston County
14481,Leicester,New York,NY,Livingston County
14482,Le Roy,New York,NY,Genesee County
14485,Lima,New York,NY,Livingston County
14486,Linwood,New York,NY,Livingston County
14487,Livonia,New York,NY,Livingston County
14488,Livonia Center,New York,NY,Livingston County
14489,Lyons,New York,NY,Wayne County
14502,Macedon,New York,NY,Wayne County
14504,Manchester,New York,NY,Ontario County
14505,Marion,New York,NY,Wayne County
14506,Mendon,New York,NY,Monroe County
14507,Middlesex,New York,NY,Yates County
14508,Morton,New York,NY,Orleans County
14510,Mount Morris,New York,NY,Livingston County
14511,Mumford,New York,NY,Monroe County
14512,Naples,New York,NY,Ontario County
14513,Newark,New York,NY,Wayne County
14514,North Chili,New York,NY,Monroe County
14515,North Greece,New York,NY,Monroe County
14516,North Rose,New York,NY,Wayne County
14517,Nunda,New York,NY,Livingston County
14518,Oaks Corners,New York,NY,Ontario County
14519,Ontario,New York,NY,Wayne County
14520,Ontario Center,New York,NY,Wayne County
14521,Ovid,New York,NY,Seneca County
14522,Palmyra,New York,NY,Wayne County
14525,Pavilion,New York,NY,Genesee County
14526,Penfield,New York,NY,Monroe County
14527,Penn Yan,New York,NY,Yates County
14529,Perkinsville,New York,NY,Steuben County
14530,Perry,New York,NY,Wyoming County
14532,Phelps,New York,NY,Ontario County
14533,Piffard,New York,NY,Livingston County
14534,Pittsford,New York,NY,Monroe County
14536,Portageville,New York,NY,Wyoming County
14537,Port Gibson,New York,NY,Ontario County
14538,Pultneyville,New York,NY,Wayne County
14539,Retsof,New York,NY,Livingston County
14541,Romulus,New York,NY,Seneca County
14542,Rose,New York,NY,Wayne County
14543,Rush,New York,NY,Monroe County
14544,Rushville,New York,NY,Yates County
14545,Scottsburg,New York,NY,Livingston County
14546,Scottsville,New York,NY,Monroe County
14547,Seneca Castle,New York,NY,Ontario County
14548,Shortsville,New York,NY,Ontario County
14549,Silver Lake,New York,NY,Wyoming County
14550,Silver Springs,New York,NY,Wyoming County
14551,Sodus,New York,NY,Wayne County
14555,Sodus Point,New York,NY,Wayne County
14556,Sonyea,New York,NY,Livingston County
14557,South Byron,New York,NY,Genesee County
14558,South Lima,New York,NY,Livingston County
14559,Spencerport,New York,NY,Monroe County
14560,Springwater,New York,NY,Livingston County
14561,Stanley,New York,NY,Ontario County
14563,Union Hill,New York,NY,Wayne County
14564,Victor,New York,NY,Ontario County
14568,Walworth,New York,NY,Wayne County
14569,Warsaw,New York,NY,Wyoming County
14571,Waterport,New York,NY,Orleans County
14572,Wayland,New York,NY,Steuben County
14580,Webster,New York,NY,Monroe County
14585,West Bloomfield,New York,NY,Ontario County
14586,West Henrietta,New York,NY,Monroe County
14588,Willard,New York,NY,Seneca County
14589,Williamson,New York,NY,Wayne County
14590,Wolcott,New York,NY,Wayne County
14591,Wyoming,New York,NY,Wyoming County
