zipcode,city,state,ST,county
1262,Stockbridge,Massachusetts,MA,Berkshire County
1263,Stockbridge,Massachusetts,MA,Berkshire County
1264,Tyringham,Massachusetts,MA,Berkshire County
1266,West Stockbridge,Massachusetts,MA,Berkshire County
1267,Williamstown,Massachusetts,MA,Berkshire County
1270,Windsor,Massachusetts,MA,Berkshire County
1301,Greenfield,Massachusetts,MA,Franklin County
1302,Greenfield,Massachusetts,MA,Franklin County
1330,Ashfield,Massachusetts,MA,Franklin County
1331,Athol,Massachusetts,MA,Worcester County
1337,Bernardston,Massachusetts,MA,Franklin County
1338,Buckland,Massachusetts,MA,Franklin County
1339,Charlemont,Massachusetts,MA,Franklin County
1340,Colrain,Massachusetts,MA,Franklin County
1341,Conway,Massachusetts,MA,Franklin County
1342,Deerfield,Massachusetts,MA,Franklin County
1343,Drury,Massachusetts,MA,Berkshire County
1344,Erving,Massachusetts,MA,Franklin County
1346,Heath,Massachusetts,MA,Franklin County
1347,Lake Pleasant,Massachusetts,MA,Franklin County
1349,Millers Falls,Massachusetts,MA,Franklin County
1350,Monroe Bridge,Massachusetts,MA,Franklin County
1351,Montague,Massachusetts,MA,Franklin County
1354,Gill,Massachusetts,MA,Franklin County
1355,New Salem,Massachusetts,MA,Franklin County
1360,Northfield,Massachusetts,MA,Franklin County
1364,Orange,Massachusetts,MA,Franklin County
1366,Petersham,Massachusetts,MA,Worcester County
1367,Rowe,Massachusetts,MA,Franklin County
1368,Royalston,Massachusetts,MA,Worcester County
1370,Shelburne Falls,Massachusetts,MA,Franklin County
1373,South Deerfield,Massachusetts,MA,Franklin County
1375,Sunderland,Massachusetts,MA,Franklin County
1376,Turners Falls,Massachusetts,MA,Franklin County
1378,Warwick,Massachusetts,MA,Franklin County
1379,Wendell,Massachusetts,MA,Franklin County
1380,Wendell Depot,Massachusetts,MA,Franklin County
1420,Fitchburg,Massachusetts,MA,Worcester County
1430,Ashburnham,Massachusetts,MA,Worcester County
1431,Ashby,Massachusetts,MA,Middlesex County
1432,Ayer,Massachusetts,MA,Middlesex County
1434,Devens,Massachusetts,MA,Worcester County
1436,Baldwinville,Massachusetts,MA,Worcester County
1438,East Templeton,Massachusetts,MA,Worcester County
1440,Gardner,Massachusetts,MA,Worcester County
1441,Westminster,Massachusetts,MA,Worcester County
1450,Groton,Massachusetts,MA,Middlesex County
1451,Harvard,Massachusetts,MA,Worcester County
1452,Hubbardston,Massachusetts,MA,Worcester County
1453,Leominster,Massachusetts,MA,Worcester County
1460,Littleton,Massachusetts,MA,Middlesex County
1462,Lunenburg,Massachusetts,MA,Worcester County
1463,Pepperell,Massachusetts,MA,Middlesex County
1464,Shirley,Massachusetts,MA,Middlesex County
1467,Still River,Massachusetts,MA,Worcester County
1468,Templeton,Massachusetts,MA,Worcester County
1469,Townsend,Massachusetts,MA,Middlesex County
1470,Groton,Massachusetts,MA,Middlesex County
1471,Groton,Massachusetts,MA,Middlesex County
1472,West Groton,Massachusetts,MA,Middlesex County
